hsa_dim3_t;struct hsa_dim3_s
__uint_least16_t;__uint16_t
hsa_kernel_dispatch_packet_t;struct hsa_kernel_dispatch_packet_s
__mbstate_t;struct __mbstate_t
__suseconds_t;long
__daddr_t;int
hsa_executable_info_t;enum hsa_executable_info_t
hsa_signal_group_t;struct hsa_signal_group_s
__uint_least8_t;__uint8_t
__timer_t;void *
_IO_lock_t;void
ssize_t;__ssize_t
hsa_amd_image_descriptor_t;struct hsa_amd_image_descriptor_s
__fsfilcnt_t;unsigned long
hsa_amd_coherency_type_t;enum hsa_amd_coherency_type_s
hsa_file_t;int
hsa_queue_type_t;enum hsa_queue_type_t
hsa_amd_profiling_dispatch_time_t;struct hsa_amd_profiling_dispatch_time_s
__dev_t;unsigned long
uint_fast16_t;unsigned long
hsa_machine_model_t;enum hsa_machine_model_t
hsa_amd_segment_t;enum hsa_amd_segment_t
hsa_amd_pointer_type_t;enum hsa_amd_pointer_type_t
__clockid_t;int
__pid_t;int
__syscall_slong_t;long
hsa_amd_memory_access_desc_t;struct hsa_amd_memory_access_desc_s
__key_t;int
__ino_t;unsigned long
__u_int;unsigned int
__uint_least64_t;__uint64_t
_Float64x;long double
hsa_fp_type_t;enum hsa_fp_type_t
hsa_region_t;struct hsa_region_s
hsa_system_info_t;enum hsa_system_info_t
__quad_t;long
